50 9251 9251
0 0 510.0 15.0
0 1 506.0 16.0
0 2 536.0 16.0
0 3 808.0 16.0
0 4 835.0 16.0
0 5 70.0 25.0
0 6 135.0 23.0
0 7 448.0 23.0
0 8 673.0 25.0
0 9 744.0 26.0
0 10 772.0 25.0
0 11 807.0 25.0
0 12 836.0 24.0
0 13 56.0 34.0
0 14 65.0 33.0
0 15 125.0 35.0
0 16 133.0 36.0
0 17 664.0 35.0
0 18 666.0 36.0
0 19 686.0 34.0
0 20 715.0 33.0
0 21 709.0 34.0
0 22 707.0 36.0
0 23 713.0 36.0
0 24 744.0 33.0
0 25 747.0 35.0
0 26 772.0 33.0
0 27 774.0 34.0
0 28 776.0 34.0
0 29 772.0 36.0
0 30 806.0 33.0
0 31 806.0 35.0
0 32 834.0 34.0
0 33 863.0 33.0
0 34 56.0 43.0
0 35 52.0 46.0
0 36 56.0 46.0
0 37 135.0 46.0
0 38 169.0 45.0
0 39 176.0 46.0
0 40 283.0 43.0
0 41 287.0 44.0
0 42 290.0 46.0
0 43 663.0 45.0
0 44 686.0 43.0
0 45 696.0 45.0
0 46 686.0 46.0
0 47 688.0 46.0
0 48 709.0 43.0
0 49 713.0 44.0
0 50 703.0 45.0
0 51 708.0 45.0
0 52 716.0 45.0
0 53 736.0 43.0
0 54 725.0 45.0
0 55 731.0 45.0
0 56 748.0 43.0
0 57 756.0 43.0
0 58 765.0 43.0
0 59 770.0 43.0
0 60 776.0 43.0
0 61 763.0 46.0
0 62 787.0 43.0
0 63 793.0 43.0
0 64 794.0 46.0
0 65 813.0 43.0
0 66 813.0 45.0
0 67 105.0 55.0
0 68 189.0 54.0
0 69 216.0 56.0
0 70 273.0 54.0
0 71 272.0 56.0
0 72 290.0 53.0
0 73 290.0 55.0
0 74 371.0 53.0
0 75 687.0 53.0
0 76 693.0 54.0
0 77 703.0 55.0
0 78 728.0 55.0
0 79 731.0 56.0
0 80 767.0 54.0
0 81 769.0 56.0
0 82 783.0 56.0
0 83 787.0 56.0
0 84 805.0 53.0
0 85 807.0 55.0
0 86 172.0 63.0
0 87 168.0 64.0
0 88 194.0 65.0
0 89 266.0 65.0
0 90 263.0 66.0
0 91 373.0 63.0
0 92 686.0 65.0
0 93 712.0 64.0
0 94 747.0 63.0
0 95 753.0 64.0
0 96 744.0 66.0
0 97 776.0 63.0
0 98 774.0 64.0
0 99 1056.0 64.0
0 100 175.0 76.0
0 101 183.0 74.0
0 102 196.0 76.0
0 103 236.0 76.0
0 104 290.0 76.0
0 105 303.0 73.0
0 106 306.0 74.0
0 107 311.0 75.0
0 108 529.0 76.0
0 109 695.0 73.0
0 110 703.0 75.0
0 111 715.0 76.0
0 112 725.0 73.0
0 113 753.0 73.0
0 114 749.0 74.0
0 115 756.0 76.0
0 116 766.0 73.0
0 117 771.0 73.0
0 118 773.0 76.0
0 119 912.0 75.0
0 120 167.0 86.0
0 121 191.0 84.0
0 122 187.0 85.0
0 123 232.0 83.0
0 124 290.0 85.0
0 125 312.0 83.0
0 126 307.0 85.0
0 127 312.0 85.0
0 128 314.0 85.0
0 129 684.0 83.0
0 130 686.0 83.0
0 131 692.0 85.0
0 132 687.0 86.0
0 133 710.0 85.0
0 134 716.0 86.0
0 135 745.0 84.0
0 136 751.0 84.0
0 137 748.0 86.0
0 138 754.0 86.0
0 139 948.0 83.0
0 140 67.0 96.0
0 141 223.0 93.0
0 142 288.0 96.0
0 143 311.0 93.0
0 144 310.0 96.0
0 145 316.0 96.0
0 146 726.0 96.0
0 147 729.0 96.0
0 148 746.0 93.0
0 149 745.0 96.0
0 150 812.0 94.0
0 151 809.0 95.0
0 152 295.0 104.0
0 153 316.0 104.0
0 154 324.0 105.0
0 155 546.0 106.0
0 156 565.0 104.0
0 157 568.0 106.0
0 158 684.0 106.0
0 159 745.0 106.0
0 160 812.0 106.0
0 161 936.0 106.0
0 162 71.0 115.0
0 163 84.0 113.0
0 164 87.0 114.0
0 165 91.0 116.0
0 166 274.0 114.0
0 167 271.0 115.0
0 168 263.0 116.0
0 169 323.0 115.0
0 170 691.0 116.0
0 171 708.0 113.0
0 172 712.0 113.0
0 173 711.0 115.0
0 174 715.0 115.0
0 175 725.0 115.0
0 176 756.0 114.0
0 177 812.0 113.0
0 178 1003.0 114.0
0 179 264.0 124.0
0 180 692.0 126.0
0 181 709.0 123.0
0 182 711.0 126.0
0 183 944.0 124.0
0 184 983.0 126.0
0 185 284.0 135.0
0 186 694.0 134.0
0 187 685.0 135.0
0 188 711.0 136.0
0 189 713.0 136.0
0 190 725.0 136.0
0 191 972.0 135.0
0 192 264.0 144.0
0 193 267.0 146.0
0 194 565.0 145.0
0 195 704.0 143.0
0 196 710.0 144.0
0 197 712.0 145.0
0 198 704.0 146.0
0 199 726.0 144.0
0 200 773.0 143.0
0 201 765.0 145.0
0 202 770.0 145.0
0 203 772.0 146.0
0 204 916.0 144.0
0 205 952.0 144.0
0 206 963.0 143.0
0 207 1107.0 145.0
0 208 273.0 153.0
0 209 271.0 156.0
0 210 291.0 155.0
0 211 284.0 156.0
0 212 373.0 154.0
0 213 364.0 155.0
0 214 569.0 153.0
0 215 565.0 154.0
0 216 776.0 153.0
0 217 103.0 163.0
0 218 105.0 166.0
0 219 268.0 166.0
0 220 273.0 166.0
0 221 365.0 163.0
0 222 364.0 166.0
0 223 571.0 166.0
0 224 828.0 163.0
0 225 944.0 166.0
0 226 269.0 176.0
0 227 274.0 176.0
0 228 668.0 185.0
0 229 771.0 183.0
0 230 770.0 186.0
0 231 315.0 194.0
0 232 310.0 196.0
0 233 324.0 196.0
0 234 467.0 194.0
0 235 543.0 194.0
0 236 567.0 194.0
0 237 569.0 194.0
0 238 571.0 194.0
0 239 574.0 195.0
0 240 563.0 196.0
0 241 603.0 194.0
0 242 783.0 194.0
0 243 310.0 203.0
0 244 375.0 203.0
0 245 372.0 204.0
0 246 386.0 203.0
0 247 389.0 203.0
0 248 531.0 205.0
0 249 529.0 206.0
0 250 736.0 203.0
0 251 743.0 203.0
0 252 746.0 204.0
0 253 803.0 205.0
0 254 545.0 216.0
0 255 607.0 213.0
0 256 634.0 213.0
0 257 743.0 213.0
0 258 793.0 213.0
0 259 803.0 213.0
0 260 807.0 213.0
0 261 1005.0 215.0
0 262 295.0 226.0
0 263 355.0 223.0
0 264 495.0 223.0
0 265 535.0 223.0
0 266 549.0 225.0
0 267 814.0 223.0
0 268 833.0 223.0
0 269 832.0 225.0
0 270 376.0 233.0
0 271 476.0 234.0
0 272 474.0 235.0
0 273 483.0 233.0
0 274 488.0 235.0
0 275 485.0 236.0
0 276 526.0 235.0
0 277 730.0 235.0
0 278 288.0 246.0
0 279 323.0 245.0
0 280 373.0 245.0
0 281 470.0 243.0
0 282 650.0 245.0
0 283 672.0 245.0
0 284 663.0 246.0
0 285 193.0 253.0
0 286 190.0 254.0
0 287 245.0 254.0
0 288 272.0 256.0
0 289 324.0 256.0
0 290 523.0 253.0
0 291 128.0 264.0
0 292 194.0 264.0
0 293 186.0 266.0
0 294 234.0 264.0
0 295 232.0 266.0
0 296 245.0 263.0
0 297 364.0 265.0
0 298 373.0 266.0
0 299 692.0 264.0
0 300 694.0 264.0
0 301 113.0 275.0
0 302 206.0 276.0
0 303 247.0 273.0
0 304 356.0 273.0
0 305 483.0 274.0
0 306 605.0 274.0
0 307 153.0 285.0
0 308 695.0 285.0
0 309 476.0 303.0
0 310 636.0 305.0
1 311 665.0 16.0
1 312 711.0 16.0
1 313 746.0 16.0
1 314 775.0 15.0
1 315 811.0 14.0
1 316 926.0 13.0
1 317 673.0 23.0
1 318 664.0 24.0
1 319 711.0 23.0
1 320 746.0 23.0
1 321 746.0 25.0
1 322 748.0 26.0
1 323 774.0 25.0
1 324 810.0 23.0
1 325 843.0 24.0
1 326 869.0 26.0
1 327 48.0 33.0
1 328 54.0 33.0
1 329 130.0 34.0
1 330 136.0 35.0
1 331 145.0 34.0
1 332 674.0 33.0
1 333 687.0 33.0
1 334 683.0 35.0
1 335 714.0 34.0
1 336 716.0 36.0
1 337 729.0 33.0
1 338 749.0 33.0
1 339 746.0 36.0
1 340 776.0 33.0
1 341 774.0 35.0
1 342 816.0 33.0
1 343 810.0 34.0
1 344 812.0 35.0
1 345 810.0 36.0
1 346 816.0 36.0
1 347 869.0 35.0
1 348 1025.0 35.0
1 349 128.0 43.0
1 350 135.0 43.0
